contest_id,competition_id,competition_name,date,location,weight_category_x,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round,athlete_id,first_name,last_name,country,gender,weight_category_y,height,weight,role
464149,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,4487,52915,0,,,4,52915,Damdin,SULDBAYAR,MONGOLIA,M,,,,blue
464150,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52903,590,590,0,,,4,52903,Rodrigo,LUCENTI,ARGENTINA,M,,,,blue
464151,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,428,11643,11643,0,,,4,428,Anatoly,LARYUKOV,RUSSIAN FEDERATION,M,,0.0,,blue
464152,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,11176,35757,11176,0,,,4,11176,Noureddine,YAGOUBI,ALGERIA,M,,160.0,,blue
464154,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,5202,11176,5202,0,,,3,5202,Gennadiy,BILODID,UKRAINE,M,,0.0,,blue
464155,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,190,2685,2685,0,,,4,190,Saso,JEREB,SLOVENIA,M,,175.0,,blue
464156,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52914,2685,52914,0,,,3,52914,Victor,BIVOL,REPUBLIC OF MOLDOVA,M,,,,blue
464157,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52682,52914,52914,0,,,4,52682,Richard,LEON VIZCAYA,VENEZUELA,M,,,,blue
464158,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,31998,182,182,0,,,4,31998,Christodoulos,CHRISTODOULIDES,CYPRUS,M,,0.0,,blue
464159,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,4084,6332,6332,0,,,4,4084,Bourama,MARIKO,MALI,M,,0.0,,blue
464160,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,6332,182,182,0,,,3,6332,Claudiu,BASTEA,ROMANIA,M,,,,blue
